site,date,Sampling time,Watershed,Location,Samplers,rainfall,Flow rate (0-5),turbidity,temp,tds,cond,sal,Notes
1,08/13/21,11:00:00 AM,West Branch Alum Creek ,Upstream,"CH, BL, KM, SB, JP",0.25,1,1,24.8,648,934,448,
1,09/03/21,11:00:00 AM,West Branch Alum Creek ,Upstream,"CH, BL, SB",0.2,1,1,20.1,771,1098,540,
1,09/17/21,11:00:00 AM,West Branch Alum Creek ,Upstream,"BL, KM",0.02,0,,,,,,No Water
1,10/01/21,10:51:00 AM,West Branch Alum Creek ,Upstream,"CH, KM, BK",0,1,1,18.1,669,957,452,
1,10/15/21,10:42:00 AM,West Branch Alum Creek ,Upstream,"CH, KM, CO",0,1,1,20.6,1377,1365,970,data had question marks in GD
1,11/05/21,11:00:00 AM,West Branch Alum Creek ,Upstream,"BL, KM, WP",0,0,0,8,446,635,304,
1,11/19/21,11:20:00 AM,West Branch Alum Creek ,Upstream,BL. KM,0.23,2,2,8.9,369,527,252,
1,12/05/21,,West Branch Alum Creek ,Upstream,"CH, JP",0.03,2,1,7.3,426,609,294,
1,12/17/21,,West Branch Alum Creek ,Upstream,"CH, SB",0,3,1,7,391,558,266,
1,12/30/21,10:45:00 AM,West Branch Alum Creek ,Upstream,"SB, KM",0.8,4,3,6.7,151,217,101,
1,01/14/22,11:00:00 AM,West Branch Alum Creek ,Upstream,"SB, KM",0,3,1,4.7,298,430,204,
1,01/28/22,12:00:00 PM,West Branch Alum Creek ,Upstream,"CH, SB, KM",0,1,,1.8,471,678,324,frozen
1,02/11/22,10:15:00 AM,West Branch Alum Creek ,Upstream,"SB, KM",0.01,2,1,4.1,331,476,220,snowy field
1,02/26/22,01:30:00 PM,West Branch Alum Creek ,Upstream,"CH, KM",0.85,3,1,2.8,174,249,118,
1,03/11/22,10:00:00 AM,West Branch Alum Creek ,Upstream,"SB, KM",0.01,1,1,8.7,237,347,163,
1,03/24/22,10:55:00 AM,West Branch Alum Creek ,Upstream,"BL, CH, KM",0.12,3,2,9.9,275,399,189,
1,04/08/22,11:48:00 AM,West Branch Alum Creek ,Upstream,"CH, KM",0.21,3,1,9.9,344,493,235,
1,04/22/22,10:40:00 AM,West Branch Alum Creek ,Upstream,"BL, KM",0.29,3,2,11.4,309,438,212,
1,05/06/22,10:10:00 AM,West Branch Alum Creek ,Upstream,"SB, KM",0.46,4,3,13.2,212,302,145,
1,05/20/22,10:45:00 AM,West Branch Alum Creek ,Upstream,"CO, KM",0.3,4,3,18,548,781,371,
1,06/09/22,10:15:00 AM,West Branch Alum Creek ,Upstream,"SB, JP",0.57,3,3,18,562,802,388,
1,06/27/22,10:48:00 AM,West Branch Alum Creek ,Upstream,"BL, KM",0,2,2,18.8,701,1001,490,
1,07/18/22,10:35:00 AM,West Branch Alum Creek ,Upstream,"BL, CH",0.18,3,2,20.6,424,603,287,
1,07/29/22,11:02:00 AM,West Branch Alum Creek ,Upstream,"KM, CO",0.28,1,1,24.1,532,763,370,
2,08/13/21,,West Branch Alum Creek ,Downstream 1,"CH, BL, KM, SB, JP",0.25,1,1,26.1,569,806,396,
2,09/03/21,11:20:00 AM,West Branch Alum Creek ,Downstream 1,"CH, BL, SB",0.2,2,0,19.5,613,874,408,
2,09/17/21,11:20:00 AM,West Branch Alum Creek ,Downstream 1,"BL, KM",0.02,1,1,22.7,675,969,472,
2,10/01/21,11:01:00 AM,West Branch Alum Creek ,Downstream 1,"CH, KM, BK",0,2,1,17.8,602,864,420,
2,10/15/21,11:00:00 AM,West Branch Alum Creek ,Downstream 1,"CH, KM, CO",0,2,1,21.7,636,915,447,
2,11/05/21,11:15:00 AM,West Branch Alum Creek ,Downstream 1,"BL, KM, WP",0,1,0,4.9,560,812,392,
2,11/19/21,11:32:00 AM,West Branch Alum Creek ,Downstream 1,"BL, KM",0.23,2,3,6.8,353,525,250,
2,12/05/21,12:04:00 PM,West Branch Alum Creek ,Downstream 1,"CH, JP",0.03,2,1,4.8,516,748,357,
2,12/17/21,,West Branch Alum Creek ,Downstream 1,"CH, SB",0,1,1,6.2,508,735,353,
2,12/30/21,,West Branch Alum Creek ,Downstream 1,"SB, KM",0.8,4,3,4.8,230,327,157,
2,01/14/22,11:15:00 AM,West Branch Alum Creek ,Downstream 1,"SB, KM",0,3,0,3.1,504,719,348,
2,01/28/22,12:20:00 PM,West Branch Alum Creek ,Downstream 1,"CH, SB, KM",0,2,,0.1,648,950,459,frozen
2,02/11/22,10:35:00 AM,West Branch Alum Creek ,Downstream 1,"SB, KM",0.01,3,0,4.6,319,437,219,
2,02/26/22,01:44:00 PM,West Branch Alum Creek ,Downstream 1,"CH, KM",0.85,4,1,4.2,284,401,190,
2,03/11/22,10:17:00 AM,West Branch Alum Creek ,Downstream 1,"SB, KM",0.01,1,,7.7,385,446,267,
2,03/24/22,11:10:00 AM,West Branch Alum Creek ,Downstream 1,"BL, CH, KM",0.12,3,3,9.2,310,447,213,
2,04/08/22,,West Branch Alum Creek ,Downstream 1,"CH, KM",0.21,2,2,9.2,592,858,416,
2,04/22/22,10:55:00 AM,West Branch Alum Creek ,Downstream 1,"BL, KM",0.29,2,3,12.1,431,617,293,
2,05/06/22,10:20:00 AM,West Branch Alum Creek ,Downstream 1,"SB, KM",0.46,5,3,13.4,187,272,128,
2,05/20/22,10:58:00 AM,West Branch Alum Creek ,Downstream 1,"CO, KM",0.3,4,3,19,298,425,201,
2,06/09/22,10:31:00 AM,West Branch Alum Creek ,Downstream 1,"SB, JP",0.57,3,3,20,388,555,263,
2,06/27/22,10:58:00 AM,West Branch Alum Creek ,Downstream 1,"BL, KM",0,2,3,20,450,650,311,
2,07/18/22,10:55:00 AM,West Branch Alum Creek ,Downstream 1,"BL, CH",0.18,3,2,20.8,368,530,253,
2,07/29/22,11:15:00 AM,West Branch Alum Creek ,Downstream 1,"KM, CO",0.28,2,0,24,622,889,432,
2,08/13/22,02:50:00 PM,West Branch Alum Creek ,Downstream 1,"FS, CH, SB",,1,1,20.1,638,918,447,
3,08/13/21,,West Branch Alum Creek ,Downstream 2,"CH, BL, KM, SB, JP",0.25,2,0,28.4,606,863,417,
3,09/03/21,11:30:00 AM,West Branch Alum Creek ,Downstream 2,"CH, BL, SB",0.2,1,0,21.7,630,923,444,
3,09/17/21,11:35:00 AM,West Branch Alum Creek ,Downstream 2,"BL, KM",0.02,1,1,25.3,678,970,474,
3,10/01/21,11:20:00 AM,West Branch Alum Creek ,Downstream 2,"CH, KM, BK",0,1,2,17.9,684,982,479,
3,10/15/21,11:12:00 AM,West Branch Alum Creek ,Downstream 2,"CH, KM, CO",0,2,1,21.3,689,985,481,
3,11/05/21,11:25:00 AM,West Branch Alum Creek ,Downstream 2,"BL, KM, WP",0,3,1,7.2,611,859,429,
3,11/19/21,11:45:00 AM,West Branch Alum Creek ,Downstream 2,"BL, KM",0.23,3,3,6.3,398,568,273,
3,12/05/21,,West Branch Alum Creek ,Downstream 2,"CH, JP",0.03,3,0,5.3,555,790,384,
3,12/17/21,,West Branch Alum Creek ,Downstream 2,"CH, SB",0,4,0,7.7,541,769,375,
3,12/30/21,11:10:00 AM,West Branch Alum Creek ,Downstream 2,"SB, KM",0.8,4,3,7.5,291,417,195,
3,01/14/22,11:21:00 AM,West Branch Alum Creek ,Downstream 2,"SB, KM",0,3,0,2.5,548,784,378,
3,01/28/22,12:34:00 PM,West Branch Alum Creek ,Downstream 2,"CH, SB, KM",0,3,,2.9,637,916,444,
3,02/11/22,10:45:00 AM,West Branch Alum Creek ,Downstream 2,"SB, KM",0.01,3,1,4.5,284,408,193,
3,02/26/22,01:55:00 PM,West Branch Alum Creek ,Downstream 2,"CH, KM",0.85,3,1,1.5,336,480,230,
3,03/11/22,10:37:00 AM,West Branch Alum Creek ,Downstream 2,"SB, KM",0.01,2,1,8.5,435,611,284,
3,03/24/22,11:25:00 AM,West Branch Alum Creek ,Downstream 2,"BL, CH, KM",0.12,3,3,9.2,321,456,220,
3,04/08/22,12:08:00 PM,West Branch Alum Creek ,Downstream 2,"CH, KM",0.21,3,0,8.5,636,911,444,
3,04/22/22,11:05:00 AM,West Branch Alum Creek ,Downstream 2,"BL, KM",0.29,3,2,12,450,651,312,
3,05/06/22,10:30:00 AM,West Branch Alum Creek ,Downstream 2,"SB, KM",0.46,4,3,13.5,205,290,139,
3,05/20/22,11:09:00 AM,West Branch Alum Creek ,Downstream 2,"CO, KM",0.3,5,3,20.2,1122,159,76,
3,06/09/22,,West Branch Alum Creek ,Downstream 2,"SB, JP",0.57,3,3,19.2,376,545,259,
3,06/27/22,11:07:00 AM,West Branch Alum Creek ,Downstream 2,"BL, KM",0,3,2,19.9,525,750,365,
3,07/18/22,11:05:00 AM,West Branch Alum Creek ,Downstream 2,"BL, CH",0.18,3,2,20.8,352,501,241,
3,07/29/22,11:30:00 AM,West Branch Alum Creek ,Downstream 2,"KM, CO",0.28,2,0,24.5,637,910,443,
3,08/13/22,03:00:00 PM,West Branch Alum Creek ,Downstream 2,"FS, CH, SB",,1,2,20,643,921,448,
4,08/13/21,,Headwaters Alum Creek,Upstream,"CH, BL, KM, SB, JP",0.25,2,0,26,525,750,364,
4,09/03/21,11:42:00 AM,Headwaters Alum Creek,Upstream,"CH, BL, SB",0.2,2,1,20.5,470,668,325,
4,09/17/21,11:50:00 AM,Headwaters Alum Creek,Upstream,"BL, KM",0.02,2,2,24,565,808,391,
4,10/01/21,11:38:00 AM,Headwaters Alum Creek,Upstream,"CH, KM, BK",0,2,0,17.3,532,760,368,
4,10/15/21,11:25:00 AM,Headwaters Alum Creek,Upstream,"CH, KM, CO",0,2,1,21.4,585,834,407,
4,11/05/21,11:40:00 AM,Headwaters Alum Creek,Upstream,"BL, KM, WP",0,3,0,8.4,525,750,350,
4,11/19/21,12:00:00 PM,Headwaters Alum Creek,Upstream,"BL, KM",0.23,3,3,6.2,348,498,238,
4,12/05/21,,Headwaters Alum Creek,Upstream,"CH, JP",0.03,3,0,4.9,496,705,336,
4,12/17/21,,Headwaters Alum Creek,Upstream,"CH, SB",0,3,1,8.9,479,682,326,
4,12/30/21,11:25:00 AM,Headwaters Alum Creek,Upstream,"SB, KM",0.8,,,7.4,312,453,216,
4,01/14/22,11:41:00 AM,Headwaters Alum Creek,Upstream,"SB, KM",0,3,0,3.4,492,692,341,
4,01/28/22,12:51:00 PM,Headwaters Alum Creek,Upstream,"CH, SB, KM",0,3,,0,555,777,383,frozen
4,02/11/22,11:01:00 AM,Headwaters Alum Creek,Upstream,"SB, KM",0.01,,,4.2,522,768,,
4,02/26/22,02:20:00 PM,Headwaters Alum Creek,Upstream,"CH, KM",0.85,3,0,2.2,320,452,319,
4,03/11/22,10:50:00 AM,Headwaters Alum Creek,Upstream,"SB, KM",0.01,3,0,7.9,380,559,266,
4,03/24/22,11:40:00 AM,Headwaters Alum Creek,Upstream,"BL, CH, KM",0.12,3,3,9.9,368,524,250,
4,04/08/22,,Headwaters Alum Creek,Upstream,"CH, KM",0.21,3,0,9.4,620,877,432,
4,04/22/22,11:20:00 AM,Headwaters Alum Creek,Upstream,"BL, KM",0.29,3,3,11.7,392,545,270,
4,05/06/22,10:50:00 AM,Headwaters Alum Creek,Upstream,"SB, KM",0.46,5,3,13.8,258,368,172,
4,05/20/22,11:25:00 AM,Headwaters Alum Creek,Upstream,"CO, KM",0.3,5,3,19.3,136,191,94,
4,06/09/22,10:55:00 AM,Headwaters Alum Creek,Upstream,"SB, JP",0.57,3,3,20,347,487,235,
4,06/27/22,11:23:00 AM,Headwaters Alum Creek,Upstream,"BL, KM",0,3,3,20.2,587,836,401,
4,07/18/22,11:20:00 AM,Headwaters Alum Creek,Upstream,"BL, CH",0.18,3,3,20.6,537,765,370,
4,07/29/22,11:48:00 AM,Headwaters Alum Creek,Upstream,"KM, CO",0.28,3,0,24.6,533,760,370,
4,08/13/22,01:55:00 PM,Headwaters Alum Creek,Upstream,"FS, CH, SB",,2,1,25.7,542,780,377,
5,08/13/21,,Headwaters Alum Creek,Downstream,"CH, BL, KM, SB, JP",0.25,3,0,26.5,490,684,339,
5,09/03/21,12:00:00 PM,Headwaters Alum Creek,Downstream,"CH, BL, SB",0.2,3,0,20.7,475,680,326,
5,09/17/21,12:10:00 PM,Headwaters Alum Creek,Downstream,"BL, KM",0.02,2,0,23.4,517,740,358,
5,10/01/21,11:58:00 AM,Headwaters Alum Creek,Downstream,"CH, KM, BK",0,3,0,18.1,492,702,340,
5,10/15/21,11:40:00 AM,Headwaters Alum Creek,Downstream,"CH, KM, CO",0,3,0,20.9,544,780,375,
5,11/05/21,12:00:00 PM,Headwaters Alum Creek,Downstream,"BL, KM, WP",0,3,0,7.1,485,696,336,
5,11/19/21,12:20:00 PM,Headwaters Alum Creek,Downstream,"BL, KM",0.23,3,2,7.6,356,512,245,
5,12/05/21,12:30:00 PM,Headwaters Alum Creek,Downstream,"CH, JP",0.03,3,0,4.5,494,713,343,
5,12/17/21,,Headwaters Alum Creek,Downstream,"CH, SB",0,3,1,8.2,473,686,330,
5,12/30/21,11:40:00 AM,Headwaters Alum Creek,Downstream,"SB, KM",0.8,4,3,8.4,311,444,212,
5,01/14/22,12:08:00 PM,Headwaters Alum Creek,Downstream,"SB, KM",0,3,0,2.5,483,693,320,
5,01/28/22,01:15:00 PM,Headwaters Alum Creek,Downstream,"CH, SB, KM",0,3,,1.9,569,836,401,frozen
5,02/11/22,11:21:00 AM,Headwaters Alum Creek,Downstream,"SB, KM",0.01,3,0,2.9,623,903,439,
5,02/26/22,12:35:00 PM,Headwaters Alum Creek,Downstream,"CH, KM",0.85,3,1,2.1,332,468,333,
5,03/11/22,11:30:00 AM,Headwaters Alum Creek,Downstream,"SB, KM",0.01,3,0,9.3,399,563,264,
5,03/24/22,12:00:00 PM,Headwaters Alum Creek,Downstream,"BL, CH, KM",0.12,3,1,10.3,431,617,297,
5,04/08/22,12:32:00 PM,Headwaters Alum Creek,Downstream,"CH, KM",0.21,3,0,9.1,660,942,455,
5,04/22/22,11:40:00 AM,Headwaters Alum Creek,Downstream,"BL, KM",0.29,3,2,12.6,403,576,273,
5,05/06/22,11:00:00 AM,Headwaters Alum Creek,Downstream,"SB, KM",0.46,5,3,13.7,326,474,225,
5,05/20/22,11:42:00 AM,Headwaters Alum Creek,Downstream,"CO, KM",0.3,5,3,19.3,228,322,148,
5,06/09/22,11:18:00 AM,Headwaters Alum Creek,Downstream,"SB, JP",0.57,3,3,19,339,489,233,
5,06/27/22,11:38:00 AM,Headwaters Alum Creek,Downstream,"BL, KM",0,3,0,20.9,660,967,465,
5,07/18/22,11:40:00 AM,Headwaters Alum Creek,Downstream,"BL, CH",0.18,3,3,21.2,418,600,288,
5,07/29/22,12:00:00 PM,Headwaters Alum Creek,Downstream,"KM, CO",0.28,2,0,25.1,479,688,330,
5,08/13/22,02:10:00 PM,Headwaters Alum Creek,Downstream,"FS, CH, SB",,3,0,22.2,473,680,326,
6,08/13/21,,Headwaters Alum Creek,Intermediate 2,"CH, BL, KM, SB, JP",0.25,3,0,27.9,494,705,335,
6,09/03/21,12:15:00 PM,Headwaters Alum Creek,Intermediate 2,"CH, BL, SB",0.2,3,0,20.7,455,656,314,
6,09/17/21,12:25:00 PM,Headwaters Alum Creek,Intermediate 2,"BL, KM",0.02,2,0,23.6,534,763,370,
6,10/01/21,12:19:00 PM,Headwaters Alum Creek,Intermediate 2,"CH, KM, BK",0,3,0,19,495,717,347,
6,10/15/21,11:55:00 AM,Headwaters Alum Creek,Intermediate 2,"CH, KM, CO",0,3,0,21.6,569,787,395,
6,11/05/21,12:15:00 PM,Headwaters Alum Creek,Intermediate 2,"BL, KM, WP",0,3,0,5.9,513,729,355,
6,11/19/21,12:00:00 PM,Headwaters Alum Creek,Intermediate 2,"BL, KM",0.23,3,1,7,350,497,240,
6,12/05/21,12:50:00 PM,Headwaters Alum Creek,Intermediate 2,"CH, JP",0.03,3,0,5,484,693,334,
6,12/17/21,,Headwaters Alum Creek,Intermediate 2,"CH, SB",0,3,1,7.7,475,684,328,
6,12/30/21,12:00:00 PM,Headwaters Alum Creek,Intermediate 2,"SB, KM",0.8,4,2,7.8,318,445,210,
6,01/14/22,12:24:00 PM,Headwaters Alum Creek,Intermediate 2,"SB, KM",0,3,0,2.1,480,693,334,
6,01/28/22,01:30:00 PM,Headwaters Alum Creek,Intermediate 2,"CH, SB, KM",0,3,,1.3,570,818,398,
6,02/11/22,11:35:00 AM,Headwaters Alum Creek,Intermediate 2,"SB, KM",0.01,3,1,3.1,525,745,361,
6,02/26/22,02:50:00 PM,Headwaters Alum Creek,Intermediate 2,"CH, KM",0.85,3,1,2,312,447,214,
6,03/11/22,11:45:00 AM,Headwaters Alum Creek,Intermediate 2,"SB, KM",0.01,3,0,9.2,372,551,261,
6,03/24/22,12:15:00 PM,Headwaters Alum Creek,Intermediate 2,"BL, CH, KM",0.12,3,2,10.7,391,555,266,
6,04/08/22,,Headwaters Alum Creek,Intermediate 2,"CH, KM",0.21,3,0,9.4,602,859,419,
6,04/22/22,12:00:00 PM,Headwaters Alum Creek,Intermediate 2,"BL, KM",0.29,3,3,12.9,380,547,262,
6,05/06/22,11:15:00 AM,Headwaters Alum Creek,Intermediate 2,"SB, KM",0.46,5,3,13.4,277,393,188,
6,05/20/22,11:56:00 AM,Headwaters Alum Creek,Intermediate 2,"CO, KM",0.3,5,3,19.1,164,232,107,
6,06/09/22,11:31:00 AM,Headwaters Alum Creek,Intermediate 2,"SB, JP",0.57,3,3,19.3,318,456,218,
6,06/27/22,11:51:00 AM,Headwaters Alum Creek,Intermediate 2,"BL, KM",0,3,2,21.4,651,925,455,
6,07/18/22,12:00:00 PM,Headwaters Alum Creek,Intermediate 2,"BL, CH",0.18,4,2,20.8,497,707,343,
6,07/29/22,12:20:00 PM,Headwaters Alum Creek,Intermediate 2,"KM, CO",0.28,2,0,25.4,502,721,347,
7,08/13/21,,Headwaters Alum Creek,Intermediate 1,"CH, BL, KM, SB, JP",0.25,2,0,26.9,502,727,352,
7,09/03/21,12:25:00 PM,Headwaters Alum Creek,Intermediate 1,"CH, BL, SB",0.2,3,1,21.1,471,678,326,
7,09/17/21,12:45:00 PM,Headwaters Alum Creek,Intermediate 1,"BL, KM",0.02,2,1,25.2,548,782,371,
7,10/01/21,12:24:00 PM,Headwaters Alum Creek,Intermediate 1,"CH, KM, BK",0,3,0,19.6,501,710,347,
7,10/15/21,12:06:00 PM,Headwaters Alum Creek,Intermediate 1,"CH, KM, CO",0,3,0,21.1,581,827,399,
7,11/05/21,12:30:00 PM,Headwaters Alum Creek,Intermediate 1,"BL, KM, WP",0,3,0,8.6,518,738,357,
7,11/19/21,12:50:00 PM,Headwaters Alum Creek,Intermediate 1,"BL, KM",0.23,3,3,6.8,353,504,240,
7,12/05/21,,Headwaters Alum Creek,Intermediate 1,"CH, JP",0.03,3,0,5.2,489,693,330,
7,12/17/21,,Headwaters Alum Creek,Intermediate 1,"CH, SB",0,3,1,6.1,482,688,333,
7,12/30/21,,Headwaters Alum Creek,Intermediate 1,"SB, KM",0.8,3,2,8.3,311,450,214,
7,01/14/22,12:40:00 PM,Headwaters Alum Creek,Intermediate 1,"SB, KM",0,3,0,2,484,684,338,
7,01/28/22,01:45:00 PM,Headwaters Alum Creek,Intermediate 1,"CH, SB, KM",0,3,,2.7,832,1220,593,
7,02/11/22,11:46:00 AM,Headwaters Alum Creek,Intermediate 1,"SB, KM",0.01,3,0,4.8,,755,356,
7,02/26/22,03:05:00 PM,Headwaters Alum Creek,Intermediate 1,"CH, KM",0.85,3,0,1.4,319,315,,
7,03/11/22,11:10:00 AM,Headwaters Alum Creek,Intermediate 1,"SB, KM",0.01,3,0,14.3,380,534,262,
7,03/24/22,12:30:00 PM,Headwaters Alum Creek,Intermediate 1,"BL, CH, KM",0.12,3,3,11.1,380,541,261,
7,04/08/22,12:50:00 PM,Headwaters Alum Creek,Intermediate 1,"CH, KM",0.21,3,0,10,605,885,422,
7,04/22/22,12:15:00 PM,Headwaters Alum Creek,Intermediate 1,"BL, KM",0.29,3,3,12.7,392,557,269,
7,05/06/22,11:30:00 AM,Headwaters Alum Creek,Intermediate 1,"SB, KM",0.46,4,3,13.4,253,361,170,
7,05/20/22,12:12:00 PM,Headwaters Alum Creek,Intermediate 1,"CO, KM",0.3,4,3,19.3,143,204,94,
7,06/09/22,11:42:00 AM,Headwaters Alum Creek,Intermediate 1,"SB, JP",0.57,3,3,20,343,486,234,
7,06/27/22,12:03:00 PM,Headwaters Alum Creek,Intermediate 1,"BL, KM",0,3,2,20.9,639,913,444,
7,07/18/22,12:15:00 PM,Headwaters Alum Creek,Intermediate 1,"BL, CH",0.18,3,3,22,525,754,365,
7,07/29/22,12:33:00 PM,Headwaters Alum Creek,Intermediate 1,"KM, CO",0.28,2,0,24.6,520,746,360,
8,08/13/21,,Headwaters Big Walnut Creek ,Downstream,"CH, BL, KM, SB, JP",0.25,2,1,27.9,659,937,458,
8,09/03/21,12:45:00 PM,Headwaters Big Walnut Creek ,Downstream,"CH, BL, SB",0.2,2,1,23.8,653,943,458,
8,09/17/21,01:05:00 PM,Headwaters Big Walnut Creek ,Downstream,"BL, KM",0.02,1,1,24.7,729,1049,513,
8,10/01/21,12:55:00 PM,Headwaters Big Walnut Creek ,Downstream,"CH, KM, BK",0,1,1,19.7,629,893,434,
8,10/15/21,12:25:00 PM,Headwaters Big Walnut Creek ,Downstream,"CH, KM, CO",0,2,1,22.1,683,990,481,
8,11/05/21,12:50:00 PM,Headwaters Big Walnut Creek ,Downstream,"BL, KM, WP",0,3,2,10,599,860,418,
8,11/19/21,01:05:00 PM,Headwaters Big Walnut Creek ,Downstream,"BL, KM",0.23,3,2,7.9,473,684,328,
8,12/05/21,01:15:00 PM,Headwaters Big Walnut Creek ,Downstream,"CH, JP",0.03,3,0,6.1,539,779,376,
8,12/17/21,,Headwaters Big Walnut Creek ,Downstream,"CH, SB",0,4,3,7.3,520,743,358,
8,12/30/21,12:30:00 PM,Headwaters Big Walnut Creek ,Downstream,"SB, KM",0.8,4,2,9.1,343,485,235,
8,01/14/22,01:05:00 PM,Headwaters Big Walnut Creek ,Downstream,"SB, KM",0,3,1,3.1,464,665,316,
8,01/28/22,02:00:00 PM,Headwaters Big Walnut Creek ,Downstream,"CH, SB, KM",0,3,,2.7,527,746,368,
8,02/11/22,12:05:00 PM,Headwaters Big Walnut Creek ,Downstream,"SB, KM",0.01,2,0,3.8,422,752,376,snowy fields with patches of ice in water
8,02/26/22,03:25:00 PM,Headwaters Big Walnut Creek ,Downstream,"CH, KM",0.85,3,1,2.6,334,474,335,
8,03/11/22,12:10:00 PM,Headwaters Big Walnut Creek ,Downstream,"SB, KM",0.01,3,0,10.8,403,568,277,
8,03/24/22,12:45:00 PM,Headwaters Big Walnut Creek ,Downstream,"BL, CH, KM",0.12,3,2,11.3,375,534,254,
8,04/08/22,02:17:00 PM,Headwaters Big Walnut Creek ,Downstream,"CH, KM",0.21,3,1,11.7,576,822,395,
8,04/22/22,12:30:00 PM,Headwaters Big Walnut Creek ,Downstream,"BL, KM",0.29,3,1,15.2,508,726,350,
8,05/06/22,01:00:00 PM,Headwaters Big Walnut Creek ,Downstream,"SB, KM",0.46,4,3,14.8,277,409,194,
8,05/20/22,12:29:00 PM,Headwaters Big Walnut Creek ,Downstream,"CO, KM",0.3,4,3,20.2,261,378,182,
8,06/09/22,12:05:00 PM,Headwaters Big Walnut Creek ,Downstream,"SB, JP",0.57,3,2,20.9,502,711,342,
8,06/27/22,12:17:00 PM,Headwaters Big Walnut Creek ,Downstream,"BL, KM",0,2,1,24.8,920,1317,653,
8,07/18/22,12:35:00 PM,Headwaters Big Walnut Creek ,Downstream,"BL, CH",0.18,3,2,22.9,443,629,306,
8,07/29/22,01:48:00 PM,Headwaters Big Walnut Creek ,Downstream,"KM, CO",0.28,2,1,28.7,810,1161,570,
9,08/13/21,,Little Walnut Creek ,Downstream,"CH, BL, KM, SB, JP",1.11,3,0,25.4,1115,1612,798,
9,09/03/21,01:20:00 PM,Little Walnut Creek ,Downstream,"CH, BL, SB",1.56,3,0,20.1,761,1089,534,
9,09/17/21,02:00:00 PM,Little Walnut Creek ,Downstream,"BL, KM",0.13,3,0,24.1,1189,1696,854,
9,10/01/21,12:24:00 PM,Little Walnut Creek ,Downstream,"CH, KM, BK",0,3,0,21,1075,1606,805,
9,10/15/21,12:06:00 PM,Little Walnut Creek ,Downstream,"CH, KM, CO",0,3,0,18.2,1105,1582,791,
9,11/05/21,12:30:00 PM,Little Walnut Creek ,Downstream,"BL, KM, WP",0,3,0,12.2,959,1372,679,
9,11/19/21,01:40:00 PM,Little Walnut Creek ,Downstream,"BL, KM",0.38,3,1,8.3,571,816,398,
9,12/05/21,01:49:00 PM,Little Walnut Creek ,Downstream,"CH, JP",0,3,1,7.5,910,1287,647,
9,12/17/21,,Little Walnut Creek ,Downstream,"CH, SB",0,3,1,8.5,777,1135,554,
9,12/30/21,01:15:00 PM,Little Walnut Creek ,Downstream,"SB, KM",0.75,3,2,9.3,319,451,213,
9,01/14/22,,Little Walnut Creek ,Downstream,"SB, KM",0,2,0,4.4,807,1162,569,
9,01/28/22,02:30:00 PM,Little Walnut Creek ,Downstream,"CH, SB, KM",0,3,,4.5,1001,1423,684,
9,02/11/22,12:50:00 PM,Little Walnut Creek ,Downstream,"SB, KM",0,3,0,4.5,553,788,426,
9,02/26/22,04:25:00 PM,Little Walnut Creek ,Downstream,"CH, KM",0.99,3,1,3.1,469,669,323,
9,03/11/22,12:55:00 PM,Little Walnut Creek ,Downstream,"SB, KM",0.01,3,0,10.9,666,955,446,
9,03/24/22,01:20:00 PM,Little Walnut Creek ,Downstream,"BL, CH, KM",0.14,3,1,12.4,595,878,418,
9,04/08/22,02:57:00 PM,Little Walnut Creek ,Downstream,"CH, KM",0.32,3,1,12,1019,1517,762,
9,04/22/22,01:20:00 PM,Little Walnut Creek ,Downstream,"BL, KM",0.3,3,1,14.7,779,1131,553,
9,05/06/22,01:38:00 PM,Little Walnut Creek ,Downstream,"SB, KM",0.77,4,3,14.8,233,333,159,
9,05/20/22,01:15:00 PM,Little Walnut Creek ,Downstream,"CO, KM",0.23,3,0,20.7,1099,1571,780,
9,06/09/22,12:47:00 PM,Little Walnut Creek ,Downstream,"SB, JP",1.41,3,3,23,190,275,130,
9,06/27/22,01:15:00 PM,Little Walnut Creek ,Downstream,"BL, KM",0,3,1,19.7,994,1420,707,
9,07/18/22,01:20:00 PM,Little Walnut Creek ,Downstream,"BL, CH",3.32,4,3,22.2,273,391,186,
9,07/29/22,02:45:00 PM,Little Walnut Creek ,Downstream,"KM, CO",0.14,2,0,24,994,1420,707,
